gene,gene_length,KRutLoading,kRiboLoading,final_mse,final_rms,generations,early_stopped,wall_time
yhcD,2382,0.13,0.0,3.296331,1.8156,146,True,494.4
pheT,2388,0.13,0.294,2.409361,1.5522,235,True,889.9
ydfJ,21837,0.13,0.0,22.294289,4.7217,241,True,63492.3
ppsA,2379,0.13,0.318,5.199098,2.2802,175,True,622.3
yddB,2373,0.13,0.0,1.610551,1.2691,157,True,503.6
lptD,2355,0.13,0.172,4.735591,2.1761,152,True,593.9
ygjK,2352,0.13,0.0,1.189556,1.0907,51,True,159.0
polB,2352,0.13,0.04,3.807650,1.9513,180,True,781.1
yliE,2349,0.13,0.072,3.376182,1.8374,170,True,587.4
bcsB,2340,0.13,0.16599999999999998,1.906587,1.3808,172,True,754.6
bisC,2334,0.13,0.126,3.421467,1.8497,189,True,801.3
arcB,2337,0.13,0.122,3.236712,1.7991,260,True,1108.0
fecA,2325,0.13,0.098,1.837860,1.3557,247,True,1005.1
feoB,2322,0.13,0.178,2.120405,1.4562,300,False,1083.0
lon,2355,0.13,0.20600000000000002,3.535413,1.8803,207,True,3585.6
yhgF,2322,0.13,0.40199999999999997,5.527569,2.3511,165,True,462.1
yicI,2319,0.13,0.0,2.011233,1.4182,177,True,554.6
ydbD,2307,0.13,0.0,1.517221,1.2318,82,True,242.3
pflD,2298,0.13,0.0,1.600410,1.2651,100,True,301.9
pbpC,2313,0.13,0.038,3.054725,1.7478,154,True,1694.4
nmpC,2297,0.13,0.0,2.812436,1.6770,282,True,834.4
bglX,2298,0.13,0.21000000000000002,2.551940,1.5975,296,True,1291.5
nrdA,2286,0.13,0.32,4.243031,2.0599,172,True,518.1
opgB,2292,0.13,0.10600000000000001,3.355999,1.8319,185,True,680.4
pflB,2283,0.13,0.39,3.325922,1.8237,156,True,404.9
fiu,2283,0.13,0.292,1.153036,1.0738,105,True,443.4
ydeP,2280,0.13,0.0,1.618581,1.2722,76,True,232.1
yehM,2280,0.13,0.0,1.360636,1.1665,98,True,297.1
maeB,2280,0.13,0.31,3.697570,1.9229,218,True,829.6
tynA,2274,0.13,0.0,1.935881,1.3914,91,True,277.6
clpA,2277,0.13,0.13999999999999999,2.583630,1.6074,245,True,870.0
adiA,2268,0.13,0.0,1.317554,1.1478,186,True,558.0
ycjT,2268,0.13,0.0,1.077078,1.0378,116,True,345.6
tdcE,2295,0.13,0.274,1.180360,1.0864,178,True,2980.3
katE,2262,0.13,0.0,0.919098,0.9587,49,True,144.7
ybhJ,2262,0.13,0.0,1.254676,1.1201,106,True,310.7
ycaI,2265,0.13,0.0,2.169365,1.4729,276,True,780.5
parC,2259,0.13,0.16599999999999998,3.269889,1.8083,226,True,779.9
xdhA,2259,0.13,0.0,1.311093,1.1450,188,True,553.7
ygaQ,2253,0.13,0.0,0.924925,0.9617,67,True,194.0
hypF,2253,0.13,0.132,1.867951,1.3667,182,True,639.9
ptsP,2247,0.13,0.072,3.151993,1.7754,235,True,1002.3
yfgF,2244,0.13,0.0,1.712253,1.3085,179,True,536.4
fhuA,2244,0.13,0.21000000000000002,2.852953,1.6891,298,True,1322.4
fepA,2241,0.13,0.0,1.779703,1.3341,139,True,423.8
nfrB,2238,0.13,0.02,2.177692,1.4757,154,True,546.8
relA,2235,0.13,0.086,4.639979,2.1541,168,True,652.2
metE,2262,0.13,0.45,1.528444,1.2363,170,True,4150.7
ybiO,2226,0.13,0.0,1.508739,1.2283,234,True,624.6
yjdA,2229,0.13,0.0,3.929918,1.9824,226,True,1183.2
ygiQ,2220,0.13,0.26,7.551825,2.7481,121,True,324.5
paoC,2199,0.13,0.0,1.078318,1.0384,110,True,317.5
priA,2199,0.13,0.062,3.298050,1.8161,145,True,579.5
speF,2199,0.13,0.0,1.332873,1.1545,151,True,440.9
zntA,2199,0.13,0.21800000000000003,2.752139,1.6590,210,True,505.6
fhuE,2190,0.13,0.0,1.481505,1.2172,104,True,310.3
fadB,2190,0.13,0.0,1.680301,1.2963,249,True,753.8
yfeA,2190,0.13,0.054000000000000006,3.318134,1.8216,221,True,687.1
yfjK,2190,0.13,0.076,2.623172,1.6196,185,True,822.6
arpA,2187,0.13,0.0,1.034065,1.0169,98,True,262.1
glgB,2187,0.13,0.04,4.684576,2.1644,190,True,723.4
etk,2181,0.13,0.11599999999999999,1.643050,1.2818,174,True,726.9
katG,2181,0.13,0.34199999999999997,5.110486,2.2606,266,True,471.8
glcB,2172,0.13,0.33799999999999997,1.877417,1.3702,163,True,669.2
wzc,2163,0.13,0.0,0.643750,0.8023,64,True,174.2
uvrD,2163,0.13,0.11200000000000002,3.897262,1.9741,226,True,589.3
rsxC,2223,0.13,0.132,5.722402,2.3922,212,True,5058.1
aas,2160,0.13,0.11200000000000002,5.167068,2.2731,159,True,582.1
yccS,2154,0.13,0.08,2.578763,1.6059,168,True,700.0
cadA,2148,0.13,0.0,1.067677,1.0333,185,True,536.2
yjiY,2151,0.13,0.188,1.671393,1.2928,252,True,786.7
dinG,2151,0.13,0.064,2.132753,1.4604,181,True,1634.1
fdhF,2148,0.13,0.004,2.198618,1.4828,246,True,919.5
fadJ,2145,0.13,0.068,1.733674,1.3167,214,True,941.6
scpA,2145,0.13,0.0,1.781286,1.3346,225,True,563.9
pta,2145,0.13,0.32799999999999996,3.152536,1.7755,300,False,687.3
nrdD,2139,0.13,0.25,3.815403,1.9533,161,True,337.9
ldcC,2142,0.13,0.05,2.157488,1.4688,267,True,835.9
pnp,2136,0.13,0.264,4.566017,2.1368,136,True,407.4
speC,2136,0.13,0.268,6.580781,2.5653,157,True,372.0
yrfF,2136,0.13,0.092,3.106493,1.7625,251,True,703.2
fusA,2115,0.13,0.13999999999999999,3.813417,1.9528,155,True,475.1
nrdE,2145,0.13,0.094,1.679451,1.2959,240,True,2799.2
spoT,2109,0.13,0.024,3.475966,1.8644,254,True,958.6
ydhV,2103,0.13,0.0,0.919668,0.9590,59,True,157.5
rlmL,2109,0.13,0.23399999999999999,2.976391,1.7252,300,False,1317.0
yhfK,2103,0.13,0.044,3.853712,1.9631,149,True,439.6
gfcD,2097,0.13,0.0,0.965230,0.9825,174,True,471.1
cstA,2106,0.13,0.118,4.051069,2.0127,165,True,1962.4
yncD,2103,0.13,0.264,2.545722,1.5955,249,True,1117.6
yjbH,2097,0.13,0.0,1.378942,1.1743,114,True,311.9
fhlA,2079,0.13,0.10200000000000001,1.677516,1.2952,169,True,493.2
recG,2082,0.13,0.036,3.917292,1.9792,152,True,543.1
flhA,2079,0.13,0.0,4.299788,2.0736,204,True,599.9
glyS,2070,0.13,0.304,4.732240,2.1754,251,True,904.7
ppk,2067,0.13,0.098,3.626647,1.9044,174,True,536.7
malQ,2085,0.13,0.144,2.524310,1.5888,206,True,2117.6
yhjG,2061,0.13,0.0,4.329844,2.0808,233,True,438.3
ptrB,2061,0.13,0.272,2.101380,1.4496,234,True,917.5
mdtO,2052,0.13,0.0,1.134123,1.0650,121,True,323.3
kdpB,2049,0.13,0.0,1.022948,1.0114,133,True,367.6
prc,2049,0.13,0.11200000000000002,2.506570,1.5832,151,True,532.3
paaZ,2046,0.13,0.0,0.895431,0.9463,91,True,240.3
dcp,2046,0.13,0.434,2.107356,1.4517,266,True,921.5
prlC,2043,0.13,0.426,5.918800,2.4329,181,True,542.9
rhsE,2037,0.13,0.0,1.419370,1.1914,65,True,181.3
yihQ,2037,0.13,0.0,1.037928,1.0188,65,True,167.5
lpoA,2037,0.13,0.0,3.993448,1.9984,177,True,470.2
gatR,2035,0.13,0.0,1.975730,1.4056,146,True,321.5
betT,2034,0.13,0.066,3.695670,1.9224,114,True,308.4
metG,2034,0.13,0.458,4.746216,2.1786,189,True,444.8
malS,2031,0.13,0.0,1.998769,1.4138,185,True,513.2
yaiX,2029,0.13,0.0,1.317153,1.1477,130,True,329.3
rep,2022,0.13,0.11599999999999999,3.073787,1.7532,174,True,735.1
helD,2055,0.13,0.146,3.248167,1.8023,300,False,3755.6
uvrB,2022,0.13,0.11599999999999999,3.120597,1.7665,253,True,806.6
fadH,2019,0.13,0.0,1.477192,1.2154,137,True,373.4
hyfB,2019,0.13,0.0,2.603953,1.6137,64,True,282.4
pgaB,2019,0.13,0.0,1.411289,1.1880,237,True,637.0
ligA,2016,0.13,0.308,5.212726,2.2831,270,True,609.6
hyfR,2013,0.13,0.0,1.320031,1.1489,107,True,281.5
ydhK,2013,0.13,0.052000000000000005,2.221701,1.4905,203,True,779.6
mnmC,2007,0.13,0.136,2.482477,1.5756,198,True,683.3
yehQ,2001,0.13,0.0,1.623090,1.2740,46,True,119.0
tktB,2004,0.13,0.22000000000000003,1.205164,1.0978,112,True,406.5
tmcA,2016,0.13,0.034,6.132779,2.4764,188,True,1935.0
cirA,1992,0.13,0.156,1.832569,1.3537,155,True,463.8
wbbL,1994,0.13,0.0,2.460980,1.5688,230,True,865.4
tktA,1992,0.13,0.404,5.982542,2.4459,137,True,341.0
yhjK,1989,0.13,0.096,3.256648,1.8046,183,True,624.6
gmr,1986,0.13,0.1,1.879428,1.3709,170,True,633.6
yjcS,1986,0.13,0.0,1.213119,1.1014,166,True,430.8
arnA,1983,0.13,0.128,2.567382,1.6023,233,True,814.4
fhuB,1983,0.13,0.052000000000000005,2.990369,1.7293,125,True,515.6
mngA,1977,0.13,0.0,0.711460,0.8435,40,True,99.0
aegA,1980,0.13,0.0,1.363447,1.1677,175,True,470.2
speA,1977,0.13,0.296,5.237562,2.2886,179,True,414.7
glgX,1974,0.13,0.024,25.292110,5.0291,106,True,321.5
aaeB,1968,0.13,0.044,1.649468,1.2843,77,True,270.0
yagF,1968,0.13,0.13799999999999998,0.847049,0.9204,91,True,325.9
yjhG,1968,0.13,0.086,1.874673,1.3692,146,True,553.1
cheA,1965,0.13,0.0,4.955960,2.2262,170,True,503.9
cyoB,1992,0.13,0.132,3.224093,1.7956,228,True,3790.4
ydcP,1962,0.13,0.176,3.451153,1.8577,151,True,579.9
topB,1962,0.13,0.078,3.876481,1.9689,297,True,1000.3
gspD,1953,0.13,0.0,1.332903,1.1545,133,True,345.0
acs,1959,0.13,0.366,1.545335,1.2431,127,True,870.9
yegI,1947,0.13,0.0,2.104647,1.4507,94,True,411.1
macB,1947,0.13,0.06999999999999999,2.650074,1.6279,166,True,699.2
nagE,1947,0.13,0.186,2.212572,1.4875,255,True,1008.5
cpdB,1944,0.13,0.374,3.029324,1.7405,201,True,507.8
ccmF,1944,0.13,0.046,3.147601,1.7741,137,True,767.3
csrD,1941,0.13,0.04,3.427975,1.8515,252,True,668.6
slt,1938,0.13,0.186,2.364311,1.5376,300,False,951.8
yeaG,1935,0.13,0.0,1.432920,1.1970,114,True,282.3
dnaX,1932,0.13,0.0,4.977373,2.2310,116,True,313.9
rnb,1935,0.13,0.34199999999999997,2.813266,1.6773,225,True,951.8
dhaR,1920,0.13,0.062,3.679227,1.9181,215,True,676.9
thrS,1929,0.13,0.252,7.219324,2.6869,153,True,779.0
ygfT,1920,0.13,0.0,1.319404,1.1487,127,True,325.1
dnaK,1917,0.13,0.45599999999999996,2.474620,1.5731,126,True,301.8
yheS,1914,0.13,0.184,3.499113,1.8706,160,True,313.3
mtlA,1914,0.13,0.162,1.756015,1.3251,300,False,952.4
insN,1912,0.13,0.0,1.593231,1.2622,242,True,692.9
ftsH,1935,0.13,0.10800000000000001,5.287896,2.2995,239,True,3624.4
yoaA,1911,0.13,0.04,2.834783,1.6837,300,False,1005.9
arpB,1900,0.13,0.0,1.528534,1.2363,37,True,89.6
uup,1908,0.13,0.188,3.344417,1.8288,298,True,1050.0
mrdA,1902,0.13,0.054000000000000006,4.639270,2.1539,166,True,1040.4
thiC,1896,0.13,0.0,2.933378,1.7127,184,True,258.4
yciQ,1896,0.13,0.008,3.544528,1.8827,167,True,462.6
parE,1893,0.13,0.246,3.996100,1.9990,203,True,498.2
deaD,1890,0.13,0.294,3.432402,1.8527,259,True,680.9
prpE,1887,0.13,0.0,0.970204,0.9850,96,True,234.1
mnmG,1890,0.13,0.16599999999999998,2.992589,1.7299,241,True,774.7
bglF,1878,0.13,0.0,1.174477,1.0837,175,True,429.4
htpG,1875,0.13,0.45599999999999996,3.203455,1.7898,179,True,423.6
aceF,1893,0.13,0.324,4.306590,2.0752,168,True,1993.3
gsiA,1872,0.13,0.05,11.478437,3.3880,149,True,462.6
ppiD,1872,0.13,0.236,2.470959,1.5719,300,False,647.4
dxs,1863,0.13,0.12,5.387527,2.3211,144,True,500.9
kefC,1863,0.13,0.10400000000000001,2.074472,1.4403,107,True,344.9
gss,1860,0.13,0.324,3.801012,1.9496,211,True,538.3
sppA,1857,0.13,0.158,2.782860,1.6682,264,True,692.8
yacH,1854,0.13,0.0,0.995812,0.9979,138,True,328.0
kup,1869,0.13,0.122,3.505665,1.8723,150,True,1976.1
asmA,1854,0.13,0.05,2.396713,1.5481,293,True,940.3
hscA,1851,0.13,0.126,3.265125,1.8070,224,True,627.7
mutL,1848,0.13,0.034,18.105093,4.2550,143,True,507.4
secD,1848,0.13,0.086,2.903779,1.7040,267,True,738.5
ycbB,1848,0.13,0.076,3.268237,1.8078,211,True,576.3
ilvD,1851,0.13,0.194,6.212496,2.4925,123,True,1348.9
btuB,1845,0.13,0.27999999999999997,2.795051,1.6718,278,True,700.1
selB,1845,0.13,0.22599999999999998,2.520819,1.5877,300,False,867.9
rpoD,1842,0.13,0.33799999999999997,2.447919,1.5646,143,True,380.1
yoeA,1840,0.13,0.0,1.505372,1.2269,69,True,163.4
uvrC,1833,0.13,0.072,3.146210,1.7738,216,True,597.7
yfbS,1833,0.13,0.04,2.537778,1.5930,283,True,827.7
nuoL,1842,0.13,0.078,2.858630,1.6907,189,True,1823.7
glmS,1830,0.13,0.23399999999999999,3.070528,1.7523,213,True,585.8
atoS,1827,0.13,0.0,2.157783,1.4689,82,True,354.8
hycC,1827,0.13,0.0,0.933632,0.9662,88,True,209.7
recQ,1830,0.13,0.046,5.469608,2.3387,216,True,684.6
typA,1824,0.13,0.27599999999999997,4.445554,2.1084,179,True,415.4
malZ,1815,0.13,0.16799999999999998,3.779193,1.9440,185,True,534.1
yejA,1815,0.13,0.118,3.568459,1.8890,163,True,511.1
yjgL,1815,0.13,0.0,1.479497,1.2163,117,True,280.1
uidA,1812,0.13,0.0,1.435627,1.1982,80,True,185.8
edd,1812,0.13,0.062,3.178566,1.7829,139,True,569.0
frdA,1809,0.13,0.20600000000000002,5.989525,2.4474,175,True,377.9
cysJ,1800,0.13,0.0,1.112898,1.0549,199,True,426.4
recD,1827,0.13,0.08199999999999999,3.623345,1.9035,236,True,2218.2
kefB,1806,0.13,0.038,3.114689,1.7648,251,True,808.0
lepA,1800,0.13,0.288,6.488887,2.5473,156,True,484.3
hyaB,1794,0.13,0.0,0.729177,0.8539,81,True,184.7
narX,1797,0.13,0.052000000000000005,18.431024,4.2931,78,True,416.5
gcl,1782,0.13,0.0,1.373407,1.1719,171,True,357.3
nuoC,1791,0.13,0.13999999999999999,2.994506,1.7305,239,True,641.3
ygeV,1779,0.13,0.0,2.410721,1.5526,152,True,394.7
fucI,1776,0.13,0.0,1.371085,1.1709,179,True,424.3
aspS,1773,0.13,0.35,3.853268,1.9630,164,True,443.6
mdlA,1773,0.13,0.046,3.239263,1.7998,173,True,494.2
mdlB,1782,0.13,0.06,3.737532,1.9333,229,True,1502.7
ade,1767,0.13,0.40800000000000003,1.209990,1.1000,223,True,681.8
cydD,1767,0.13,0.13999999999999999,3.272048,1.8089,189,True,542.8
sdhA,1767,0.13,0.22200000000000003,2.629679,1.6216,286,True,917.3
ycaO,1761,0.13,0.414,2.037316,1.4273,252,True,853.9
ftsI,1767,0.13,0.032,4.513909,2.1246,245,True,1361.7
ycbZ,1761,0.13,0.132,3.880168,1.9698,172,True,538.8
yejH,1761,0.13,0.202,2.134688,1.4611,217,True,618.5
ynbC,1758,0.13,0.0,1.426021,1.1942,82,True,186.2
frvR,1749,0.13,0.0,2.485462,1.5765,139,True,338.0
yejM,1761,0.13,0.04,3.665614,1.9146,188,True,1052.5
msbA,1749,0.13,0.10800000000000001,3.436570,1.8538,155,True,471.6
dnaG,1746,0.13,0.022,3.796654,1.9485,183,True,379.2
ggt,1743,0.13,0.0,1.481766,1.2173,175,True,402.3
yhcE,1745,0.13,0.0,1.797856,1.3408,98,True,422.0
aceK,1737,0.13,0.008,2.261821,1.5039,193,True,512.7
cvrA,1737,0.13,0.078,3.052916,1.7473,214,True,557.9
argS,1734,0.13,0.386,2.997731,1.7314,244,True,636.9
eptC,1734,0.13,0.0,3.399704,1.8438,208,True,529.3
recJ,1734,0.13,0.092,3.172516,1.7812,145,True,426.9
tamA,1734,0.13,0.0,5.795243,2.4073,207,True,498.9
yfbK,1728,0.13,0.0,1.331352,1.1538,79,True,176.3
ptsI,1728,0.13,0.238,2.772103,1.6650,136,True,366.9
ybhF,1737,0.13,0.054000000000000006,2.792922,1.6712,208,True,2067.6
ilvI,1725,0.13,0.11599999999999999,2.926337,1.7107,191,True,521.9
poxB,1719,0.13,0.0,0.949196,0.9743,90,True,198.6
yhgE,1725,0.13,0.066,3.513631,1.8745,239,True,736.9
dld,1716,0.13,0.396,2.154506,1.4678,218,True,532.8
proS,1719,0.13,0.3,3.177100,1.7824,260,True,562.4
yidK,1716,0.13,0.0,1.122789,1.0596,75,True,158.1
cysI,1713,0.13,0.0,1.149024,1.0719,106,True,231.6
